Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
Russian Vitriol Company LLC,14317,Oksana Senchyshyn,0.005401613,0.009111617,0,0.8,0.86,0,0,0,85.09240414,1,,2
MOLAR bvba,2530,Houcem Bakkari,0.100315679,0.006833713,0,0.9125,0.660465116,0,0,0,85.03078235,1,,2
Nordmann UK Fine Chemicals,27635,Dimitrios Ntounas,0.006032971,0,0,1,0.692218045,0,0,0,84.9125508,1,,2
Pentagon chemicals,4717,Dimitrios Ntounas,0.116801122,0.025056948,0,0.481132075,1,0,0,0,84.90804942,1,,2
CONSTAB Polyolefin Additives GmbH,4843,Florian Pagels,0.017467555,0.009111617,0,1,0.64,0,0,0,84.69570122,1,,2
CALDIC FRANCE,15035,Houcem Bakkari,0.007435987,0.004555809,0,0.857142857,0.81,0,0,0,84.64010396,1,,2
PMC OUVRIE,13040,Houcem Bakkari,0.008207646,0.009111617,0.018181818,1,0.57,0,0,0,84.36906942,1,,2
KWK Holding GmbH & CO KG,7611,Julian Panchyrz,0.021816906,0,0,1,0.662241379,0,0,0,84.20291428,1,,2
Petrofer AG,22411,Julian Panchyrz,0.008839004,0,0,1,0.675,0,0,0,84.19195019,1,,2
Satcotek Gmbh,796,Florian Pagels,0.00933006,0,0,1,0.671818182,0,0,0,84.05741207,1,,2
DEUREX AG,17574,Florian Pagels,0.008137496,0.011389522,0,1,0.627068966,0,0,0,84.03822738,1,,2
"LESOKHIMIK, OAO",15405,Oksana Senchyshyn,0.012697299,0.006833713,0,1,0.64,0,0,0,84.00160756,1,,2
TRIGON Chemie,30087,Florian Pagels,0.007225535,0.009111617,0,1,0.635882353,0,0,0,83.97771785,1,,2
REG Chemicals Ltd,11521,Dimitrios Ntounas,0.007786741,0.025056948,0,1,0.57,0,0,0,83.9007266,1,,2
Garzanti Specialties,15337,Marcello Sanz,0.027428972,0.027334852,0,1,0.537378641,0,0,0,83.70735104,1,,2
jowo chemie GmbH,15251,Florian Pagels,0.004770256,0.041002278,0.009090909,0.608695652,0.86,0,0,0,83.69193281,1,,2
BTC Europe,252,Anna Ziemes,0.426236408,0.006833713,0,0.752873563,0.467155743,0,0,0,83.6800283,1,,2
CHEMION AG,23732,Florian Pagels,0.005261312,0.036446469,0,0.8125,0.71,0,0,0,83.67735944,1,,2
UP Catalyst,11890,Oksana Senchyshyn,0.019361627,0,0,0.789473684,0.86,0,0,0,83.44176559,1,,2
FS DIS TICARET A.S,25704,Tunahan Güzel,0.057172922,0.113895216,0.018181818,0.608108108,0.43,0.020381277,0,0,83.21758607,1,,2
